닉네임,소속팀,지역,DPI,일반감도,수직감도,스코프감도,2배율감도,3배율감도,4배율감도,6배율감도,8배율감도,해상도,인게임아이디
vilo,FA,AS,800,60,1.2,35,35,35,35,35,35,1728x1080,-
volibear,FA,AS,400,46,1.15,30,33,37,33,33,33,1728x1080,-
wenbo,17,AS,800,38,1.2,30,35,35,38,38,38,1728x1080,-
wick2d,FA,AS,800,34,1,32,32,32,32,32,32,1728x1080,-
woong,ART,AS,400,40,1,35,35,35,35,35,35,1728x1080,ART_Wxxng
windah,4AM.,AS,400,50,1,35,40,40,40,40,40,1728x1080,4AMWINDah
xbei,FA,AS,400,50,1.2,50,50,50,50,50,50,1728x1080,17_xbei
xmpl,TWIS,EU,800,34,1.1,18,18,18,18,18,18,1728x1080,xmpl
xquad,FA,AS,400,45,1.15,35,42,45,37,37,37,1728x1080,-
xtong,FA,AS,400,43,0.95,43,43,43,43,43,43,1728x1080,-
xwudd,17,AS,800,30,0.6,30,43,45,47,47,47,1728x1080,-
xxxlu,FA,AS,400,47,1.15,30,35,38,35,35,35,1728x1080,-
xyang,FA,AS,800,45,1.2,35,35,35,35,35,35,1728x1080,-
xiaohaixxxx,FA,AS,800,40,1.2,25,25,27,27,27,27,1728x1080,-
ymcud,VC,APAC,400,40,0.85,37,37,39,37,36,35,1728x1080,-
yuyu,FA,AS,800,25,0.86,16,20,22,24,24,24,1728x1080,-
yong,FA,AS,1000,38,1.3,19,23,30,31,24,25,1728x1080,-
zenith,FN,AS,800,20,1,20,20,20,20,20,20,1920x1080,-
zephyros,FA,AS,400,35,0.85,34,35,39,35,35,35,1728x1080,-
zest,FA,APAC,400,40,1.1,33,38,43,38,40,40,1920x1080,-
zpyan1,FA,AS,400,50,1,35,37,37,37,37,37,1728x1080,-
zyy,WBG,AS,400,55,1,50,50,50,50,50,50,1728x1080,WBG_Zyy
zkraken,FA,AMER,800,30,1,20,20,20,20,20,20,1728x1080,-
